codigo_cid;nome_cid;passe_livre
3118601;CONTAGEM;1
2800308;ARACAJU;1
2910800;FEIRA DE SANTANA;1
5103403;CUIABÁ;1
4209102;JOINVILLE;0
5201405;APARECIDA DE GOIÂNIA;1
4113700;LONDRINA;1
3136702;JUIZ DE FORA;1
1100205;PORTO VELHO;1
1500800;ANANINDEUA;1
3205002;SERRA;1
4305108;CAXIAS DO SUL;1
1600303;MACAPÁ;1
3303302;NITERÓI;1
4205407;FLORIANÓPOLIS;1
3300456;BELFORD ROXO;0
3301009;CAMPOS DOS GOYTACAZES;0
3205200;VILA VELHA;1
3529401;MAUÁ;1
3305109;SÃO JOÃO DE MERITI;0
3549805;SÃO JOSÉ DO RIO PRETO;1
3530607;MOGI DAS CRUZES;1
3106705;BETIM;1
1400100;BOA VISTA;1
4115200;MARINGÁ;1
3548500;SANTOS;1
3513801;DIADEMA;1
3525904;JUNDIAÍ;0
1200401;RIO BRANCO;0
3143302;MONTES CLAROS;0
2504009;CAMPINA GRANDE;1
3538709;PIRACICABA;0
3510609;CARAPICUÍBA;1
5201108;ANÁPOLIS;0
2609600;OLINDA;1
3201308;CARIACICA;1
3506003;BAURU;0
3523107;ITAQUAQUECETUBA;1
3551009;SÃO VICENTE;1
3205309;VITÓRIA;1
2604106;CARUARU;0
2303709;CAUCAIA;1
4202404;BLUMENAU;0
2611101;PETROLINA;1
4119905;PONTA GROSSA;0
3516200;FRANCA;1
4304606;CANOAS;1
4314407;PELOTAS;1
2933307;VITÓRIA DA CONQUISTA;1
3154606;RIBEIRÃO DAS NEVES;1
3170107;UBERABA;1
2610707;PAULISTA;1
3541000;PRAIA GRANDE;1
4104808;CASCAVEL;1
4125506;SÃO JOSÉ DOS PINHAIS;1
3518701;GUARUJÁ;1
3554102;TAUBATÉ;1
1721000;PALMAS;1
3526902;LIMEIRA;1
2905701;CAMAÇARI;1
1506807;SANTARÉM;0
3303906;PETRÓPOLIS;1
2408003;MOSSORÓ;1
3552502;SUZANO;1
